Company Name,Website,Domain,Phone,City,Country
LC Cash & Carry,http://lcfinefoods.com/,lcfinefoods.com,+1 203-773-3486,La Romana,Dominican Republic
Spaccio Salumeria by Truffle Brothers,http://www.spacciosalumeria.com/,www.spacciosalumeria.com,+1 323-795-0152,La Romana,Dominican Republic
Roma Market,,,+1 626-797-7748,La Romana,Dominican Republic
Ital Foods Inc.,http://www.italfoodsinc.com/,www.italfoodsinc.com,+1 650-877-0724,La Romana,Dominican Republic
LC Fine Foods,https://lcthefinefood.com/,lcthefinefood.com,+1 203-773-3486,La Romana,Dominican Republic
minimarket la familia,,,,La Romana,Dominican Republic
Merumalia Società Agricola Semplice,http://www.merumalia.it/,www.merumalia.it,+39 340 299 8994,La Romana,Dominican Republic
Supermercados Nacional,https://supermercadosnacional.com/,supermercadosnacional.com,+1 809-523-2344,La Romana,Dominican Republic
Comercializadora de Bebida la Romana,,,+52 55 6830 6673,La Romana,Dominican Republic
Bebidas La Romana,,,,La Romana,Dominican Republic
Morso Wine & Food,https://m.facebook.com/morsowinefood,m.facebook.com/morsowinefood,+39 06 3973 8668,La Romana,Dominican Republic
Luppolo12,https://www.luppolo12.it/,www.luppolo12.it,+39 06 4547 7696,La Romana,Dominican Republic
Verso - Vinosteria,http://www.enotecaverso.it/,www.enotecaverso.it,+39 06 7045 4326,La Romana,Dominican Republic
Gastromario,https://www.instagram.com/gastromario.it,www.instagram.com/gastromario.it,+39 06 7978 2584,La Romana,Dominican Republic
Tira e Molla Roma,http://www.tiraemollaroma.it/,www.tiraemollaroma.it,+39 06 702 1021,La Romana,Dominican Republic
Hostaria Romana,http://www.hostariaromana.it/,www.hostariaromana.it,+39 06 474 5284,La Romana,Dominican Republic
Vocatus Puerto Plata,http://linktr.ee/vocatusrd,linktr.ee/vocatusrd,+1 809-242-3921,Puerto Plata,Dominican Republic
Vinoteca Wine House,,,,Puerto Plata,Dominican Republic
"Licormart Cash & Carry, Puerto Plata",,,+1 809-586-2961,Puerto Plata,Dominican Republic
EXPORTADORADOMINICANAAGUAAZUL,,,+1 809-320-9540,Puerto Plata,Dominican Republic
Vinícola Del Norte,http://www.vinicola.com.do/,www.vinicola.com.do,+1 809-586-2221,Puerto Plata,Dominican Republic
LicorLab,http://www.licorlab.com/,www.licorlab.com,+1 809-586-3429,Puerto Plata,Dominican Republic
OchoSantos - Puerto Plata,,,+1 809-261-8800,Puerto Plata,Dominican Republic
"OchoSantos - Av. Caamaño, Puerto Plata",,,+1 849-261-8800,Puerto Plata,Dominican Republic
Eslicor,https://bit.ly/3AO6JDW,bit.ly/3AO6JDW,+1 829-916-3658,Puerto Plata,Dominican Republic
Choco's liquor Store,https://instagram.com/chocos_licor_store?igshid=YmMyMTA2M2Y=,instagram.com/chocos_licor_store?igshid=YmMyMTA2M2Y=,+1 809-696-0507,Puerto Plata,Dominican Republic
Edicris Liquor Store,http://www.edicrisliquor.com/,www.edicrisliquor.com,+1 849-269-5475,Puerto Plata,Dominican Republic
Super Colmadon David #2,,,+1 809-261-2892,Puerto Plata,Dominican Republic
Meeting Cigar Club,,,+1 809-261-8182,Puerto Plata,Dominican Republic
Minimarket Facil,,,+1 809-571-8400,Puerto Plata,Dominican Republic
Grand Prix,,,+1 809-253-4799,Puerto Plata,Dominican Republic
THE WHITE HOUSE,https://instagram.com/01the_white_house?igshid=bbk2uor83oqh,instagram.com/01the_white_house?igshid=bbk2uor83oqh,+1 809-586-7693,Puerto Plata,Dominican Republic
Pachuche by C Brugal Cigars,,,+1 809-261-2976,Puerto Plata,Dominican Republic
Minimarket Sheyla - Tienda de bebidas,,,+1 809-261-2121,Puerto Plata,Dominican Republic
Meclao’ Rooftop Lounge,https://facebook.com/pages/category/Beer-Garden/Meclao-Rooftop-Lounge-1392027960913263/,facebook.com/pages/category/Beer-Garden/Meclao-Rooftop-Lounge-1392027960913263,+1 829-571-0719,Puerto Plata,Dominican Republic
MiniMarket Liquor Perez,https://www.facebook.com/share/16MqxZrPwB/?mibextid=wwXIfr,www.facebook.com/share/16MqxZrPwB/?mibextid=wwXIfr,+1 809-261-1511,Puerto Plata,Dominican Republic
The Hideout,,,+1 809-690-2559,Puerto Plata,Dominican Republic
Importadora La Estrella,,,+1 809-586-1717,Puerto Plata,Dominican Republic
Distribuidora Costa Atlántica,,,+1 809-320-8509,Puerto Plata,Dominican Republic
Gomeria Importadora Chiesa Bonifacio srl,,,+1 809-251-7236,Puerto Plata,Dominican Republic
Distribuidora Gonzalez,,,+1 809-586-6945,Puerto Plata,Dominican Republic
Casa Nelson,https://casanelsonrd.com/es,casanelsonrd.com/es,+1 809-586-2727,Puerto Plata,Dominican Republic
Cervecería Nacional Dominicana - CDD Puerto Plata,http://www.cnd.com.do/,www.cnd.com.do,+1 809-261-5555,Puerto Plata,Dominican Republic
