Company Name,Website,Domain,Phone,City,Country
San Giorgio Trattoria,http://www.sangiorgiotrattoria.com/,www.sangiorgiotrattoria.com,+57 311 4927542,Bogota,Colombia
Restaurante Italia Artesana,https://italiaartesanacol.com/,italiaartesanacol.com,+57 601 7041283,Bogota,Colombia
IL Tinello,https://iltinello.precompro.com/select/?source=instagram,iltinello.precompro.com/select/?source=instagram,+57 315 5553661,Bogota,Colombia
Trattoria de la Plaza | 7 de agosto Bogotá,https://www.instagram.com/trattoriadelaplaza,www.instagram.com/trattoriadelaplaza,+57 318 8827938,Bogota,Colombia
Café Amarti,https://zonak.com.co/restaurantes/amarti/,zonak.com.co/restaurantes/amarti,+57 315 0472472,Bogota,Colombia
"La Vita è Bella, Cucina e Bar - Restaurante Italiano en Bogotá -",https://www.restaurantelavitaebella.com/,www.restaurantelavitaebella.com,+57 311 8317070,Bogota,Colombia
El Sol de Nápoles,https://www.instagram.com/elsoldenapoles?igsh=MW5sbG53dGhzZjc2MQ==,www.instagram.com/elsoldenapoles?igsh=MW5sbG53dGhzZjc2MQ==,+57 601 7027963,Bogota,Colombia
18 Scalini,http://www.18scalini.com/,www.18scalini.com,+57 601 3573495,Bogota,Colombia
IL NONNO Trattoria de Barrio,http://www.ilnonno.co/,www.ilnonno.co,+57 304 6578373,Bogota,Colombia
Pizza Candelaria,,,+57 310 6183317,Bogota,Colombia
Florio | Alimentos Italianos Mineo,https://florio.co/,florio.co,+57 601 9142288,Bogota,Colombia
Mercato Italiano,https://mercatoitaliano.co/,mercatoitaliano.co,+57 317 4031317,Bogota,Colombia
Prodotti Italiani S.A.S,http://www.prodotti.com.co/,www.prodotti.com.co,+57 601 3102020,Bogota,Colombia
Productos Italiano Ltda(Salsas),http://www.conservasitaliano.com/,www.conservasitaliano.com,+57 601 2050041,Bogota,Colombia
RIFLOTTI,https://riflotti.com/,riflotti.com,+57 324 4597842,Bogota,Colombia
Gigi Importing Ltd - Importers of Fine Italian Food Products,https://gigiimporting.com/?utm_source=GMBlisting&utm_medium=organic,gigiimporting.com/?utm_source=GMBlisting&utm_medium=organic,+1 905-789-9966,Bogota,Colombia
Casa Italia Gourmet,http://casaitaliagourmet.com/,casaitaliagourmet.com,+57 316 0246473,Bogota,Colombia
Italian Food Trading S. R. L.,https://www.italianfoodtrading.com/,www.italianfoodtrading.com,+39 045 858 0774,Bogota,Colombia
Manzo Food Sales Inc,https://manzofood.com/,manzofood.com,+1 305-406-2747,Bogota,Colombia
Il Formaggio,https://www.zonak.com.co/il-formaggio/,www.zonak.com.co/il-formaggio,+57 318 9912093,Bogota,Colombia
Eat's Gastro Market,,,+57 319 3576830,Bogota,Colombia
DISTRIBUIDORA DE QUESOS PUERTO RICO,,,+57 601 2651135,Bogota,Colombia
Paloquemao Fruit Market,http://www.plazadepaloquemao.com/,www.plazadepaloquemao.com,+57 7426664,Bogota,Colombia
Artegel Italy Ltda,https://artegelitalia.com.co/,artegelitalia.com.co,+57 318 4150253,Bogota,Colombia
Carulla Pasadena,https://www.carulla.com/?utm_source=google&utm_medium=gmb,www.carulla.com/?utm_source=google&utm_medium=gmb,+57 1 800 0428800,Bogota,Colombia
Carnes PIAMONTESA,,,+57 311 5923573,Bogota,Colombia
Exito WOW - Country,https://www.exito.com/?utm_source=google&utm_medium=gmb,www.exito.com/?utm_source=google&utm_medium=gmb,+57 1 800 0428800,Bogota,Colombia
"The Italian Food Specialists, Inc. - Cebu, Main Branch",https://www.theitalianfoodspecialists.com/about-us,www.theitalianfoodspecialists.com/about-us,+63 956 029 7148,Bogota,Colombia
Corabastos - National Square Market,https://play.google.com/store/apps/details?id=com.gzomerka.com,play.google.com/store/apps/details?id=com.gzomerka.com,+57 316 8871612,Bogota,Colombia
la inglesa L.C,,,+57 601 3735650,Bogota,Colombia
Distribuidora San Diego,https://domicilios24siete.com/,domicilios24siete.com,+57 311 5114450,Bogota,Colombia
Bodega BBC,https://www.bbccerveceria.com/,www.bbccerveceria.com,+57 316 7362331,Bogota,Colombia
