Company Name,Website,Domain,Phone,City,Country
Ninatec,,,+51 961 869 835,Arequipa,Peru
Tai Loy Mayorista Consuelo,https://www.tailoy.com.pe/,www.tailoy.com.pe,+51 994 024 476,Arequipa,Peru
Casa Tedy,https://www.facebook.com/CasaTedy/,www.facebook.com/CasaTedy,+51 914 251 358,Arequipa,Peru
Rico Pollo,http://www.ricopollo.pe/,www.ricopollo.pe,+51 54 242158,Arequipa,Peru
Unitech Mayoristas S.A.C.,https://www.unitech.pe/,www.unitech.pe,+51 913 051 893,Arequipa,Peru
Il Caffè Della Nonna,https://bento.me/ilcaffedellanonna,bento.me/ilcaffedellanonna,+51 902 190 996,Arequipa,Peru
MUMIS,http://www.mumis.pe/,www.mumis.pe,+51 980 020 004,Arequipa,Peru
Pasta Canteen,http://www.facebook.com/pastacanteen,www.facebook.com/pastacanteen,+51 938 807 852,Arequipa,Peru
Raviolo bar de pastas,https://raviolo.mesa247.pe/,raviolo.mesa247.pe,,Arequipa,Peru
La Italiana - San Francisco,,,+51 54 202080,Arequipa,Peru
Da Giancarlo Casa Pizzería Italiana,,,+51 963 301 342,Arequipa,Peru
13 Monjas,https://linktr.ee/13monjas,linktr.ee/13monjas,+51 913 200 214,Arequipa,Peru
Claustro,https://claustro.com.pe/,claustro.com.pe,+51 973 615 221,Arequipa,Peru
La Italiana - Cayma,https://laitaliana.com.pe/,laitaliana.com.pe,+51 275599,Arequipa,Peru
Peruita Pizzería & Vino,http://es-la.facebook.com/PeruitaPizzeria/,es-la.facebook.com/PeruitaPizzeria,+51 54 212621,Arequipa,Peru
La Despensa,https://www.facebook.com/ladespensa.aqp/,www.facebook.com/ladespensa.aqp,+51 54 222104,Arequipa,Peru
Más Queso,,,+51 902 101 816,Arequipa,Peru
Malbec 121 - Parrillas y Vinos,,,+51 959 009 485,Arequipa,Peru
Zig Zag,http://www.zigzagrestaurant.com/,www.zigzagrestaurant.com,+51 54 206020,Arequipa,Peru
Cipriana - cocina libre,,,+51 941 547 953,Arequipa,Peru
Primera Playa Rooftop Restobar,http://www.hotelariquepay.com/,www.hotelariquepay.com,+51 992 074 300,Arequipa,Peru
GRIETA,,,+51 949 083 590,Arequipa,Peru
Presto Italo Peruana,http://www.presto.com.pe/,www.presto.com.pe,+51 54 381111,Arequipa,Peru
Gigi Importing Ltd - Importers of Fine Italian Food Products,https://gigiimporting.com/?utm_source=GMBlisting&utm_medium=organic,gigiimporting.com/?utm_source=GMBlisting&utm_medium=organic,+1 905-789-9966,Arequipa,Peru
Italian Food Imports,http://www.italianfoodimports.ca/,www.italianfoodimports.ca,+1 250-385-7923,Arequipa,Peru
Agriallpa Peruvian Foods SAC,,,+51 959 616 476,Arequipa,Peru
Salmartino Inc,http://www.salmartino.com/,www.salmartino.com,+1 215-534-3090,Arequipa,Peru
"Snack & Jugos ""COFFEE MARKET""",http://coffeemarket.com.pe/,coffeemarket.com.pe,,Arequipa,Peru
Mercado San Camilo,,,,Arequipa,Peru
Sunset Rooftop Bar,https://www.instagram.com/sunsetrooftopbar/?hl=es,www.instagram.com/sunsetrooftopbar/?hl=es,+51 973 314 223,Arequipa,Peru
Capriccio - Calle Mercaderes,http://www.capriccioperu.com/,www.capriccioperu.com,+51 54 308700,Arequipa,Peru
"Mercado de productores ""El Palomar""",,,,Arequipa,Peru
Tienda Mass,https://tiendasmass.com.pe/,tiendasmass.com.pe,,Arequipa,Peru
Licoreria-El Bravazo,,,,Arequipa,Peru
Barley Emolientes e Infusiones,,,+51 953 408 531,Arequipa,Peru
Steel for Beer,,,+51 972 262 667,Arequipa,Peru
"Distribuidor de Cerveza y Eventos ""ROEL""",,,+51 959 252 043,Arequipa,Peru
KOLA ESCOCESA,https://kolaescocesa.godaddysites.com/,kolaescocesa.godaddysites.com,,Arequipa,Peru
Agua Medica - Venta de bidón de Agua,https://www.instagram.com/aguamedica/,www.instagram.com/aguamedica,+51 932 348 752,Arequipa,Peru
Loo Import,,,+51 913 306 534,Arequipa,Peru
Agua Medica - Venta de recarga de bidón de Agua,https://www.instagram.com/aguamedica/,www.instagram.com/aguamedica,+51 932 346 090,Arequipa,Peru
AGUA MEDICA - VENTA DE BIDON DE AGUA,https://www.instagram.com/aguamedica/,www.instagram.com/aguamedica,+51 966 064 062,Arequipa,Peru
COLÁGENO RENOVA -BELAIAEXPRESSPERU🇵🇪,,,+51 943 558 017,Arequipa,Peru
Chichazumare,,,,Arequipa,Peru
