Company Name,Website,Domain,Phone,City,Country
Gardela,http://www.gardelarestaurante.mx/,www.gardelarestaurante.mx,+52 55 7591 8812,Mexico City,Mexico
Anónimo,,,,Mexico City,Mexico
Il Ritrovo,https://www.facebook.com/ilritrovomx/,www.facebook.com/ilritrovomx,+52 55 5533 6449,Mexico City,Mexico
IL PORTO D' ITALIA GOURMET FOOD,http://www.ilportoditalia.com/,www.ilportoditalia.com,+52 55 4841 6100,Mexico City,Mexico
Pinco Pallino Distributors,http://www.pincopallino.mx/,www.pincopallino.mx,+52 55 3032 1272,Mexico City,Mexico
Delitalia,,,+52 55 3444 5662,Mexico City,Mexico
Trivio México,,,+52 55 9667 7190,Mexico City,Mexico
Italfood,http://www.italianzone.mx/,www.italianzone.mx,+52 81 8356 9438,Mexico City,Mexico
Especialidades Deli S.A. de C.V. Tienda la Nueva Lupita,,,+52 55 5694 3118,Mexico City,Mexico
Italian Food Trading S. R. L.,https://www.italianfoodtrading.com/,www.italianfoodtrading.com,+39 045 858 0774,Mexico City,Mexico
My Gourmet,https://mygourmet.com.mx/,mygourmet.com.mx,+52 55 5418 4633,Mexico City,Mexico
Boris Delicatessen - Russian Food Store,,,+52 55 7591 4360,Mexico City,Mexico
"Fain products, S.A.",,,+52 55 5527 4375,Mexico City,Mexico
Ranieri & Ranieri,https://www.ranieri.com.mx/,www.ranieri.com.mx,+52 33 9688 0816,Mexico City,Mexico
Guidi Marcello Co Ltd,http://www.guidimarcello.com/,www.guidimarcello.com,+1 310-452-6277,Mexico City,Mexico
Productos Lacteos CORTES,https://wa.me/5215634966802,wa.me/5215634966802,+52 55 1450 9422,Mexico City,Mexico
Italia Gourmet,https://instagram.com/italiagourmet22?igshid=YmMyMTA2M2Y=,instagram.com/italiagourmet22?igshid=YmMyMTA2M2Y=,+52 222 972 5192,Mexico City,Mexico
Frutichela,https://www.frutichela.com/,www.frutichela.com,+52 55 6304 8477,Mexico City,Mexico
La Primera,https://www.facebook.com/profile.php?id=61568503508161&mibextid=ZbWKwL,www.facebook.com/profile.php?id=61568503508161&mibextid=ZbWKwL,,Mexico City,Mexico
"CEDIS Sur, Coca cola Femsa",https://www.coca-colaentuhogar.com/,www.coca-colaentuhogar.com,+52 55 5624 9905,Mexico City,Mexico
Gepp Iztacalco,,,,Mexico City,Mexico
Can Sin Cueva,http://www.cansincueva.com/,www.cansincueva.com,+52 55 6540 7905,Mexico City,Mexico
Cultura Mezcal,https://culturamezcal.com/,culturamezcal.com,+52 55 5286 8011,Mexico City,Mexico
Grupo Modelo Agencia Oceanía,,,+52 15552621200,Mexico City,Mexico
Millan Sabor SC de RL de CV,,,+52 55 4064 5663,Mexico City,Mexico
Pepsi Vallejo,,,,Mexico City,Mexico
Gente de Mezcal,https://gentedemezcal.com/,gentedemezcal.com,+52 56 2216 1721,Mexico City,Mexico
IMPORTADORA Y COMERCIALIZADORA HO & JU,https://linktr.ee/ho.ju,linktr.ee/ho.ju,+52 55 2589 4276,Mexico City,Mexico
Jugos del Valle | Santa Clara,http://jugosdelvalle.com.mx/,jugosdelvalle.com.mx,+52 55 3088 5000,Mexico City,Mexico
Cerveceria Cuauhtemoc S.A. de C.V.,https://heinekenmexico.com/,heinekenmexico.com,+52 55 5333 2400,Mexico City,Mexico
La Europea Ayuntamiento 25,http://www.laeuropea.com.mx/,www.laeuropea.com.mx,+52 55 2124 2596,Mexico City,Mexico
El Liquor Store,https://elliquorstore.com/,elliquorstore.com,+52 55 5531 5599,Mexico City,Mexico
Vida Bebida,http://vidabebida.com/,vidabebida.com,+52 81 2015 1782,Mexico City,Mexico
Mezcalia,https://mezcalia.com/,mezcalia.com,+52 55 5286 7292,Mexico City,Mexico
Depósito El Fallas,,,+52 54910986,Mexico City,Mexico
DEPOSITO CASA VALDEZ SUCURSAL MISTERIOS,,,+52 55 5431 3714,Mexico City,Mexico
INMORTAL,https://inmortalmx.com/,inmortalmx.com,+52 55 7438 0747,Mexico City,Mexico
Costco Wholesale,http://www.costco.com.mx/,www.costco.com.mx,+52 55 5276 8160,Mexico City,Mexico
"Depósito de Cerveza ""La Viga"" SPASA",,,+52 55 5538 2770,Mexico City,Mexico
Kampai,https://www.instagram.com/kampaiparallevar/,www.instagram.com/kampaiparallevar,,Mexico City,Mexico
La garra del oso,,,,Mexico City,Mexico
DEPÓSITO CASA VALDÉZ,,,+52 55 5431 3714,Mexico City,Mexico
"La Madrileña, .S.A de C.V.",,,+52 55 5090 1900,Mexico City,Mexico
Modelorma Premium,https://www.modelorama.com.mx/,www.modelorama.com.mx,+52 800 466 3356,Mexico City,Mexico
Manarola Wine Shop & Bar,https://www.facebook.com/profile.php?id=61570048812995,www.facebook.com/profile.php?id=61570048812995,,Mexico City,Mexico
Vinos y Licores y Naucalpan,,,,Mexico City,Mexico
Bodegas Alianza,http://www.bodegasalianza.com/,www.bodegasalianza.com,+52 55 5338 4509,Mexico City,Mexico
Casa D'Amico,https://www.damico.com.mx/,www.damico.com.mx,+52 55 5025 2787,Mexico City,Mexico
Sapore d Italia,http://www.saporeditalia.mx/,www.saporeditalia.mx,+52 55 5543 8888,Mexico City,Mexico
Licantropo Trattoria,,,+52 55 5931 2497,Mexico City,Mexico
"Attenti Restaurante Italiano en la Cuauhtemoc, CDMX",https://www.attenti.com.mx/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,www.attenti.com.mx/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,+52 55 5525 9341,Mexico City,Mexico
Vapiano,http://mx.vapiano.com/,mx.vapiano.com,+52 55 5207 3929,Mexico City,Mexico
Santino Polanco,https://bit.ly/rsvp-santino,bit.ly/rsvp-santino,+52 56 1113 2673,Mexico City,Mexico
Intervallo,http://www.ristoranteintervallo.com/,www.ristoranteintervallo.com,+52 55 5593 6616,Mexico City,Mexico
Nonsolo,http://nonsolo.mx/,nonsolo.mx,+52 55 5512 0619,Mexico City,Mexico
Drinks Depot H-90,http://www.drinksdepot.com.mx/,www.drinksdepot.com.mx,+52 55 5694 1654,Mexico City,Mexico
DRINKS DEPOT SUC. ERMITA,http://www.drinksdepot.com.mx/,www.drinksdepot.com.mx,+52 55 2450 0315,Mexico City,Mexico
Kume Importaciones,http://www.kume.com.mx/,www.kume.com.mx,+52 55 6234 7114,Mexico City,Mexico
Deposito Momoluco,https://distribuidoramomoluco.odoo.com/,distribuidoramomoluco.odoo.com,+52 55 5618 6658,Mexico City,Mexico
Drinks depot,http://www.drinksdepot.com.mx/,www.drinksdepot.com.mx,+52 55 5694 1654,Mexico City,Mexico
Mayorista Maxxi oriental 万盛东方批发（ 大市场）,https://maxxioriental.com/,maxxioriental.com,+52 55 5600 9490,Mexico City,Mexico
Ferrer y Asociados,,,+52 55 2624 1588,Mexico City,Mexico
Cesarfer,https://cesarfer.com/,cesarfer.com,+52 55 5686 6400,Mexico City,Mexico
Importadora y Exportadora Orfe S.A. de C.V.,,,+52 55 5543 9968,Mexico City,Mexico
Comercializadora ÉL SHADDAI MZI,http://www.elshaddaimzi.com/,www.elshaddaimzi.com,+52 55 6296 3430,Mexico City,Mexico
H. S. Comercial,http://www.hscomercial.mx/,www.hscomercial.mx,+52 55 4412 5724,Mexico City,Mexico
Importadora shijie,https://www.facebook.com/profile.php?id=61556403271830&mibextid=ZbWKwL,www.facebook.com/profile.php?id=61556403271830&mibextid=ZbWKwL,,Mexico City,Mexico
Abascal Groceries,,,+52 55 5694 0695,Mexico City,Mexico
La Europea,http://www.laeuropea.com.mx/,www.laeuropea.com.mx,+52 55 5511 6900,Mexico City,Mexico
La Europea,http://www.laeuropea.com.mx/,www.laeuropea.com.mx,+52 55 5286 3316,Mexico City,Mexico
Tequilas Y Mezcales,,,,Mexico City,Mexico
Vinos Chidos - Polanco,http://vinoschidos.mx/,vinoschidos.mx,+52 55 2471 5466,Mexico City,Mexico
La perla,,,+52 55 5124 8549,Mexico City,Mexico
México-Madrid,,,+52 55 5517 1708,Mexico City,Mexico
Servi Vino De Oriente S.A. de C.V.,,,+52 55 5758 4860,Mexico City,Mexico
Wine Concept,http://www.wineconcept.com.mx/,www.wineconcept.com.mx,+52 55 9001 0689,Mexico City,Mexico
Solovino Club - Tienda de Vinos y Catas en México,https://solovino.club/,solovino.club,+52 56 1857 3737,Mexico City,Mexico
Brutal Vinata de Barrio,http://www.brutalbrutal.mx/,www.brutalbrutal.mx,+52 56 2598 1020,Mexico City,Mexico
Wine Bar by CMB,http://winebarbycmb.com/,winebarbycmb.com,+52 55 2211 0826,Mexico City,Mexico
Vigneron,https://www.vigneron.mx/,www.vigneron.mx,,Mexico City,Mexico
Mr. Volk Condesa,http://mrvolk.com.mx/,mrvolk.com.mx,+52 55 9057 3721,Mexico City,Mexico
NIV,https://www.nivbar.com/,www.nivbar.com,+52 55 1742 8853,Mexico City,Mexico
La Naval Insurgentes,http://www.lanaval.com.mx/,www.lanaval.com.mx,+52 55 5584 3144,Mexico City,Mexico
Mexico City Duty Free,https://mexicocity.shopdutyfree.com/es/,mexicocity.shopdutyfree.com/es,+52 55 5036 0900,Mexico City,Mexico
Mexico City Duty Free,https://mexicocity.shopdutyfree.com/,mexicocity.shopdutyfree.com,+52 55 5036 0900,Mexico City,Mexico
Dufry Shop,https://www.dufry.com/en,www.dufry.com/en,+52 55 5036 0955,Mexico City,Mexico
Dufry Mexico Sa De Cv,https://www.dufry.com/,www.dufry.com,+52 55 5036 0958,Mexico City,Mexico
Dufry,https://www.dufry.com/,www.dufry.com,,Mexico City,Mexico
El Salitre Vinos y Licores,http://salitrevinos.com/,salitrevinos.com,+52 33 3801 5446,Guadalajara,Mexico
Sed Azteca Bebidas Suc. Avenida del Mercado,http://sedazteca.mx/,sedazteca.mx,+52 33 2033 0094,Guadalajara,Mexico
Mezcal Antifaz,http://www.mezcalantifaz.com/,www.mezcalantifaz.com,+52 33 3197 2854,Guadalajara,Mexico
Grupo Giralda,http://www.vinosgiralda.com/,www.vinosgiralda.com,+52 33 3619 0321,Guadalajara,Mexico
Vinicacao,https://m.facebook.com/Vinicacaogdl/,m.facebook.com/Vinicacaogdl,+52 33 2305 9617,Guadalajara,Mexico
Viparmex,https://www.viparmex.com.mx/,www.viparmex.com.mx,+52 33 3811 8141,Guadalajara,Mexico
Vinos América Niños Héroes Guadalajara,https://www.vinosamerica.com/,www.vinosamerica.com,+52 33 3563 8891,Guadalajara,Mexico
